gender,seniorcitizen,partner,dependents,tenure,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,contract,paperlessbilling,paymentmethod,monthlycharges,churn,servicephone,streaming
female,1,yes,no,37,fiber optic,no,no,no,no,month-to-month,yes,electronic check,76.5,yes,yes,no
female,0,yes,yes,64,dsl,no,yes,no,yes,two year,yes,electronic check,54.6,no,no,yes
male,0,yes,yes,3,fiber optic,yes,yes,no,no,month-to-month,no,electronic check,89.85,no,yes,yes
female,0,no,no,36,dsl,yes,no,no,no,two year,no,bank transfer (automatic),31.05,no,no,no
female,0,yes,yes,10,fiber optic,yes,no,no,no,month-to-month,yes,electronic check,100.25,yes,yes,yes
female,0,no,no,41,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.65,no,yes,no
male,0,yes,yes,27,fiber optic,no,yes,no,yes,month-to-month,yes,credit card (automatic),85.2,no,yes,no
female,0,yes,yes,56,fiber optic,no,no,yes,no,one year,yes,credit card (automatic),99.8,no,yes,yes
female,0,no,no,6,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.7,no,yes,no
male,0,no,no,3,fiber optic,no,no,no,no,month-to-month,yes,electronic check,74.4,yes,yes,no
female,0,yes,yes,7,dsl,yes,no,no,no,month-to-month,no,mailed check,50.7,no,yes,no
female,0,yes,yes,4,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.85,no,yes,no
male,0,no,no,33,fiber optic,yes,no,no,yes,two year,yes,electronic check,88.95,no,yes,yes
female,1,no,no,27,fiber optic,no,no,yes,no,month-to-month,yes,electronic check,78.05,yes,yes,no
male,0,yes,no,72,no,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),23.55,no,yes,no
male,0,no,no,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.75,no,yes,no
male,1,no,no,71,dsl,yes,yes,no,no,one year,yes,electronic check,56.45,no,no,yes
female,0,no,no,13,fiber optic,no,no,no,no,month-to-month,yes,electronic check,85.95,no,yes,no
female,0,yes,yes,25,dsl,yes,yes,yes,no,month-to-month,yes,credit card (automatic),58.6,yes,no,yes
male,0,no,no,67,dsl,no,no,no,yes,two year,no,bank transfer (automatic),50.55,no,yes,no
male,0,no,no,1,dsl,no,no,no,no,month-to-month,yes,electronic check,35.45,yes,no,no
male,0,no,no,2,dsl,no,no,no,no,month-to-month,no,electronic check,44.35,yes,yes,no
female,0,no,no,43,no,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.7,no,yes,no
female,0,no,no,23,fiber optic,yes,no,no,no,month-to-month,yes,bank transfer (automatic),75.0,no,yes,no
female,0,yes,yes,64,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.2,no,yes,no
male,0,no,yes,57,no,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.6,no,yes,no
female,1,yes,no,1,fiber optic,no,no,no,no,month-to-month,yes,mailed check,70.45,yes,yes,no
female,1,yes,yes,72,dsl,yes,yes,yes,yes,two year,yes,credit card (automatic),88.05,no,yes,yes
female,0,no,no,8,dsl,yes,no,no,yes,month-to-month,no,electronic check,71.15,yes,yes,no
female,0,yes,no,61,fiber optic,no,yes,no,no,two year,yes,bank transfer (automatic),101.05,no,yes,yes
male,0,no,no,64,fiber optic,yes,yes,no,no,one year,yes,credit card (automatic),84.3,no,yes,no
male,1,yes,no,71,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.95,no,yes,no
female,0,yes,yes,65,fiber optic,yes,yes,no,yes,two year,yes,credit card (automatic),99.05,no,yes,yes
male,0,no,no,3,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.6,no,yes,no
male,0,no,no,1,dsl,no,no,no,no,month-to-month,yes,electronic check,45.65,yes,yes,no
male,0,no,yes,30,dsl,no,yes,yes,no,one year,no,credit card (automatic),64.5,no,yes,yes
male,0,yes,yes,15,dsl,no,yes,yes,yes,month-to-month,yes,mailed check,69.5,no,yes,no
female,0,yes,yes,8,dsl,no,no,no,yes,month-to-month,yes,electronic check,68.55,no,yes,yes
male,0,no,no,7,fiber optic,no,no,no,no,month-to-month,no,mailed check,95.0,yes,yes,yes
female,0,yes,yes,70,fiber optic,yes,yes,yes,no,one year,yes,credit card (automatic),108.15,no,yes,yes
male,0,yes,yes,62,dsl,yes,yes,yes,yes,two year,no,electronic check,86.1,no,yes,yes
female,0,yes,yes,6,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.7,no,yes,no
female,0,yes,yes,14,fiber optic,no,no,no,no,month-to-month,yes,bank transfer (automatic),80.9,no,yes,no
female,0,no,no,22,fiber optic,no,no,no,no,month-to-month,yes,bank transfer (automatic),84.15,no,yes,yes
male,0,yes,yes,22,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.15,no,yes,no
male,0,yes,yes,16,dsl,yes,no,yes,no,two year,no,mailed check,64.25,no,yes,yes
male,0,no,no,10,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),25.7,no,yes,no
female,0,no,yes,13,dsl,yes,yes,no,no,month-to-month,yes,electronic check,56.0,no,yes,no
female,0,yes,no,20,fiber optic,yes,no,no,no,month-to-month,no,electronic check,82.4,yes,yes,no
female,0,no,no,2,fiber optic,no,no,no,no,month-to-month,yes,electronic check,69.7,no,yes,no
male,0,no,no,53,dsl,no,yes,yes,yes,two year,yes,bank transfer (automatic),73.9,no,yes,no
female,0,yes,yes,11,no,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.6,no,yes,no
male,0,yes,no,69,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.9,no,yes,no
female,0,no,no,4,fiber optic,no,no,no,no,month-to-month,yes,bank transfer (automatic),70.9,yes,yes,no
male,0,yes,no,72,dsl,yes,yes,yes,yes,two year,yes,bank transfer (automatic),89.05,no,yes,yes
male,1,yes,no,58,dsl,no,yes,yes,no,month-to-month,yes,electronic check,45.3,yes,no,no
female,0,yes,yes,16,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,20.4,no,yes,no
male,0,yes,no,43,fiber optic,yes,no,yes,yes,one year,yes,bank transfer (automatic),84.25,no,yes,no
female,0,yes,no,2,fiber optic,no,no,yes,yes,month-to-month,yes,electronic check,104.4,yes,yes,yes
male,0,yes,no,14,dsl,no,yes,yes,yes,two year,no,mailed check,81.95,no,yes,yes
female,0,yes,no,53,fiber optic,no,no,yes,no,one year,yes,bank transfer (automatic),94.85,yes,yes,yes
female,0,no,no,32,no,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.55,no,yes,no
female,0,yes,no,34,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,24.7,no,yes,no
female,1,no,no,15,fiber optic,no,no,no,no,month-to-month,yes,mailed check,74.45,yes,yes,no
female,1,no,no,7,fiber optic,yes,no,no,no,month-to-month,no,bank transfer (automatic),76.45,yes,yes,no
female,0,yes,yes,15,fiber optic,no,yes,yes,no,month-to-month,yes,bank transfer (automatic),105.35,no,yes,yes
male,0,yes,no,61,no,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),20.55,no,yes,no
female,0,no,no,1,dsl,no,yes,no,no,month-to-month,no,bank transfer (automatic),29.95,yes,no,no
female,0,no,no,1,dsl,no,no,no,no,month-to-month,no,mailed check,45.3,no,yes,no
male,0,no,no,8,fiber optic,no,no,no,no,month-to-month,no,bank transfer (automatic),84.5,yes,yes,no
male,0,yes,yes,33,dsl,yes,no,yes,no,one year,no,credit card (automatic),74.75,no,yes,yes
female,0,no,no,13,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,79.25,yes,yes,no
female,0,yes,no,1,dsl,no,no,no,no,month-to-month,yes,electronic check,24.8,yes,no,no
male,0,no,no,20,dsl,no,yes,no,no,month-to-month,yes,mailed check,51.8,no,yes,no
male,0,no,no,3,dsl,no,no,no,yes,month-to-month,no,electronic check,30.4,no,no,no
female,0,no,no,13,no,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,19.65,no,yes,no
female,0,yes,no,40,dsl,no,yes,no,no,month-to-month,no,credit card (automatic),56.6,no,yes,no
male,0,yes,yes,43,dsl,yes,no,no,yes,one year,yes,credit card (automatic),71.9,no,yes,no
male,0,yes,no,6,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,91.0,yes,yes,no
female,0,yes,yes,69,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.75,no,yes,no
female,0,yes,yes,72,fiber optic,yes,yes,yes,no,two year,no,credit card (automatic),109.7,no,yes,yes
male,0,yes,yes,59,no,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.3,no,yes,no
female,0,yes,no,20,fiber optic,yes,yes,no,yes,month-to-month,yes,electronic check,96.55,no,yes,yes
male,0,yes,yes,24,no,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),24.1,no,yes,no
male,0,no,no,59,fiber optic,no,yes,yes,yes,month-to-month,yes,electronic check,111.35,no,yes,yes
male,0,yes,yes,72,fiber optic,no,yes,yes,yes,two year,yes,bank transfer (automatic),112.25,no,yes,yes
male,0,no,yes,1,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.75,no,yes,no
female,0,yes,no,27,fiber optic,yes,no,no,yes,one year,yes,credit card (automatic),101.9,no,yes,yes
female,0,no,no,14,fiber optic,no,yes,no,yes,month-to-month,yes,credit card (automatic),80.05,no,yes,no
male,0,yes,yes,71,fiber optic,yes,no,yes,no,two year,no,electronic check,105.55,no,yes,yes
male,0,no,yes,13,fiber optic,no,no,no,no,month-to-month,yes,credit card (automatic),78.3,no,yes,yes
male,0,no,no,44,fiber optic,no,no,no,no,month-to-month,no,credit card (automatic),68.85,no,yes,no
female,0,no,no,33,fiber optic,no,yes,no,yes,one year,yes,bank transfer (automatic),79.95,no,yes,no
male,0,yes,yes,72,dsl,yes,yes,yes,yes,two year,yes,credit card (automatic),55.45,no,no,no
male,0,no,no,1,fiber optic,no,no,no,no,month-to-month,no,electronic check,79.9,yes,yes,no
female,0,no,no,19,fiber optic,yes,no,yes,yes,month-to-month,yes,electronic check,106.6,yes,yes,yes
male,0,yes,no,64,fiber optic,no,yes,yes,yes,one year,yes,credit card (automatic),102.45,no,yes,yes
male,0,no,no,2,dsl,no,no,no,no,month-to-month,yes,credit card (automatic),46.0,yes,yes,no
female,0,no,no,1,dsl,no,no,no,no,month-to-month,no,electronic check,25.25,no,no,no
male,0,no,yes,61,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.75,no,yes,no
female,0,yes,yes,29,no,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,20.0,no,yes,no
male,1,yes,no,23,fiber optic,no,no,no,no,month-to-month,no,electronic check,86.8,no,yes,no
female,0,yes,no,57,dsl,yes,yes,yes,no,month-to-month,yes,bank transfer (automatic),58.75,no,no,yes
male,0,yes,yes,72,dsl,yes,yes,yes,yes,two year,no,credit card (automatic),45.25,no,no,no
male,0,yes,no,66,dsl,yes,yes,yes,yes,two year,yes,bank transfer (automatic),56.6,no,no,yes
male,0,yes,yes,65,dsl,no,yes,yes,yes,two year,yes,bank transfer (automatic),84.2,no,yes,yes
female,0,no,no,8,fiber optic,no,no,no,no,month-to-month,yes,bank transfer (automatic),80.0,no,yes,yes
female,0,no,no,4,fiber optic,no,no,no,no,month-to-month,yes,electronic check,70.15,yes,yes,no
female,0,yes,no,71,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),24.75,no,yes,no
male,0,yes,yes,1,no,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,20.2,no,yes,no
male,0,yes,no,4,dsl,no,no,no,yes,month-to-month,no,mailed check,50.05,yes,yes,no
female,0,no,no,12,no,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),19.35,no,yes,no
male,0,no,no,24,dsl,yes,no,no,no,one year,yes,mailed check,50.6,no,no,yes
female,0,yes,yes,31,dsl,yes,no,yes,yes,one year,yes,mailed check,81.15,no,yes,yes
female,0,yes,no,1,dsl,no,no,no,no,month-to-month,no,mailed check,55.2,yes,yes,yes
male,0,no,no,30,fiber optic,no,no,no,yes,month-to-month,yes,credit card (automatic),89.9,no,yes,no
female,0,yes,yes,47,dsl,yes,yes,no,yes,two year,yes,credit card (automatic),85.3,no,yes,yes
male,0,no,no,54,fiber optic,yes,yes,no,yes,two year,yes,credit card (automatic),108.0,no,yes,yes
male,0,no,no,50,fiber optic,yes,yes,no,yes,month-to-month,yes,credit card (automatic),93.5,no,yes,no
male,0,no,no,1,fiber optic,yes,no,no,no,month-to-month,yes,mailed check,84.6,yes,yes,no
female,0,no,no,72,no,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.25,no,yes,no
female,0,no,no,29,no,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,25.15,no,yes,no
male,0,no,no,2,dsl,no,yes,no,no,month-to-month,yes,mailed check,54.4,yes,yes,no
female,0,no,no,10,dsl,no,no,no,yes,two year,yes,mailed check,29.6,no,no,no
male,0,yes,no,18,fiber optic,no,no,no,no,month-to-month,yes,electronic check,73.15,no,yes,no
female,1,no,no,11,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,95.0,yes,yes,yes
male,0,no,no,16,no,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.75,no,yes,no
female,0,no,no,72,dsl,no,yes,yes,yes,two year,no,bank transfer (automatic),86.6,no,yes,yes
male,0,no,no,72,fiber optic,no,yes,yes,yes,two year,no,bank transfer (automatic),109.2,no,yes,yes
female,0,yes,yes,41,dsl,yes,no,no,yes,one year,yes,credit card (automatic),74.7,no,yes,yes
female,1,yes,no,65,fiber optic,yes,yes,yes,no,month-to-month,no,electronic check,94.4,no,yes,no
female,1,no,no,13,dsl,no,yes,yes,no,month-to-month,yes,electronic check,54.8,no,yes,no
male,1,no,no,4,fiber optic,yes,no,no,no,month-to-month,no,electronic check,75.35,no,yes,no
male,0,no,no,41,dsl,no,no,yes,no,one year,no,mailed check,65.0,no,yes,no
male,1,no,no,15,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,74.4,yes,yes,no
male,0,no,no,1,dsl,yes,no,no,no,month-to-month,yes,mailed check,48.55,yes,yes,no
male,0,no,no,42,fiber optic,yes,yes,yes,no,one year,yes,electronic check,99.0,no,yes,no
female,0,yes,no,51,fiber optic,yes,yes,yes,no,one year,yes,electronic check,93.5,no,yes,yes
female,0,yes,yes,2,fiber optic,no,no,no,no,month-to-month,no,electronic check,70.4,yes,yes,no
male,1,yes,no,1,dsl,no,yes,no,no,month-to-month,no,electronic check,40.2,yes,no,yes
male,0,no,yes,32,dsl,no,yes,yes,yes,one year,no,credit card (automatic),83.7,no,yes,yes
male,0,no,no,10,no,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.85,no,yes,no
female,0,yes,yes,67,dsl,no,yes,yes,yes,two year,yes,electronic check,59.55,no,no,yes
female,0,yes,yes,61,fiber optic,yes,yes,yes,yes,two year,no,credit card (automatic),115.1,no,yes,yes
male,0,no,no,50,fiber optic,yes,yes,yes,yes,one year,no,credit card (automatic),114.35,no,yes,yes
female,0,yes,no,2,dsl,no,no,no,no,month-to-month,yes,credit card (automatic),44.6,yes,yes,no
female,1,yes,no,29,dsl,yes,no,yes,no,month-to-month,yes,electronic check,45.0,no,no,no
male,1,no,no,3,dsl,no,no,yes,no,month-to-month,yes,electronic check,41.15,yes,no,no
male,1,no,no,13,fiber optic,no,yes,yes,no,month-to-month,yes,electronic check,106.9,yes,yes,yes
male,1,yes,no,57,fiber optic,no,yes,no,no,month-to-month,yes,electronic check,89.85,no,yes,no
female,0,no,no,31,dsl,yes,yes,no,yes,two year,yes,bank transfer (automatic),49.85,no,no,no
female,0,yes,no,45,fiber optic,yes,yes,yes,yes,one year,no,mailed check,113.3,no,yes,yes
female,0,yes,yes,61,dsl,yes,yes,yes,yes,two year,no,mailed check,88.1,no,yes,yes
male,0,no,no,50,no,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),24.9,no,yes,no
